name_rep	at_id
HSF_tnt.HSF3_col_a	AT5G16820
HSF_tnt.HSF3_colamp_a	AT5G16820
HSF_tnt.HSF6_col_a	AT5G62020
HSF_tnt.HSF7_col_a	AT4G11660
HSF_tnt.HSF7_colamp_a	AT4G11660
HSF_tnt.HSFA1E_col_a	AT3G02990
HSF_tnt.HSFA1E_colamp_a	AT3G02990
HSF_tnt.HSFA6A_col_a	AT5G43840
HSF_tnt.HSFA6A_colamp_a	AT5G43840
HSF_tnt.HSFA6B_col	AT3G22830
HSF_tnt.HSFA6B_colamp_a	AT3G22830
HSF_tnt.HSFB3_col_a	AT2G41690
HSF_tnt.HSFB3_colamp_a	AT2G41690
HSF_tnt.HSFB4_col_a	AT1G46264
HSF_tnt.HSFC1_col_a	AT3G24520
HSF_tnt.HSFC1_colamp_a	AT3G24520
Homeobox_ecoli.HAT2_col_v31	AT5G47370
Homeobox_tnt.ATHB13_col_a	AT1G69780
Homeobox_tnt.ATHB13_colamp_a	AT1G69780
Homeobox_tnt.ATHB18_col_a	AT1G70920
Homeobox_tnt.ATHB18_colamp_a	AT1G70920
Homeobox_tnt.ATHB20_col_a	AT3G01220
Homeobox_tnt.ATHB20_colamp_a	AT3G01220
Homeobox_tnt.ATHB6_col_a	AT2G22430
Homeobox_tnt.ATHB6_colamp_a	AT2G22430
Homeobox_tnt.ATHB7_col_a	AT2G46680
Homeobox_tnt.EDT1_col	AT1G73360
Homeobox_tnt.HAT1_col_a	AT4G17460
Homeobox_tnt.HAT1_colamp_a	AT4G17460
Homeobox_tnt.HAT22_col_a	AT4G37790
Homeobox_tnt.HAT2_colamp_a	AT5G47370
Homeobox_tnt.HAT5_col_a	AT3G01470
Homeobox_tnt.HAT5_colamp_a	AT3G01470
Homeobox_tnt.HDG1_col100_a	AT3G61150
Homeobox_tnt.HDG1_colamp_a	AT3G61150
Homeobox_tnt.PDF2_col	AT4G04890
Homeobox_tnt.WUS1_col_a	AT2G17950
Homeobox_tnt.WUS1_colamp_a	AT2G17950
LIM_tnt.WLIM2A_col_a	AT2G39900
LOBAS2_tnt.AS2_col_a	AT1G65620
LOBAS2_tnt.ASL18_col_a	AT2G42430
LOBAS2_tnt.ASL18_colamp_a	AT2G42430
LOBAS2_tnt.LBD13_col_a	AT2G30340
LOBAS2_tnt.LBD13_colamp_a	AT2G30340
LOBAS2_tnt.LBD18_col_a	AT2G45420
LOBAS2_tnt.LBD18_colamp_a	AT2G45420
LOBAS2_tnt.LBD19_col_a	AT2G45410
LOBAS2_tnt.LBD19_colamp_a	AT2G45410
LOBAS2_tnt.LBD23_col_a	AT3G26620
LOBAS2_tnt.LBD23_colamp_a	AT3G26620
LOBAS2_tnt.LBD2_col_a	AT1G06280
LOBAS2_tnt.LBD2_colamp_a	AT1G06280
LOBAS2_tnt.LOB_col_a	AT5G63090
MADS_tnt.AGL13_col_b	AT3G61120
MADS_tnt.AGL15_col_a	AT5G13790
MADS_tnt.AGL15_colamp_a	AT5G13790
MADS_tnt.AGL16_col_a	AT3G57230
MADS_tnt.AGL16_colamp_a	AT3G57230
MADS_tnt.AGL25_col_a	AT5G10140
MADS_tnt.AGL25_colamp_a	AT5G10140
MADS_tnt.AGL42_col_a	AT5G62165
MADS_tnt.AGL55_col_a	AT1G60920
MADS_tnt.AGL63_col_a	AT1G31140
MADS_tnt.AGL6_col_a	AT2G45650
MADS_tnt.FEM111_col_a	AT5G48670
MADS_tnt.SVP_col_v3b	AT2G22540
MADS_tnt.SVP_colamp_v3b	AT2G22540
MYB_tnt.ATY13_col_a	AT1G74650
MYB_tnt.ATY13_colamp_a	AT1G74650
MYB_tnt.ATY19_col_a	AT3G23250
MYB_tnt.BOS1_col_a	AT3G06490
MYB_tnt.MS188_col_a	AT5G56110
MYB_tnt.MS188_colamp_a	AT5G56110
MYB_tnt.MYB101_col_a	AT2G32460
MYB_tnt.MYB101_colamp_a	AT2G32460
MYB_tnt.MYB105_col_a	AT1G69560
MYB_tnt.MYB105_colamp_a	AT1G69560
MYB_tnt.MYB107_col_a	AT3G02940
MYB_tnt.MYB107_colamp_a	AT3G02940
MYB_tnt.MYB10_col_a	AT3G12820
MYB_tnt.MYB10_colamp_a	AT3G12820
MYB_tnt.MYB113_col_a	AT1G66370
MYB_tnt.MYB116_col_a	AT1G25340
MYB_tnt.MYB116_colamp_a	AT1G25340
MYB_tnt.MYB118_col_a	AT3G27785
MYB_tnt.MYB118_colamp_a	AT3G27785
MYB_tnt.MYB119_col_a	AT5G58850
MYB_tnt.MYB119_colamp_a	AT5G58850
MYB_tnt.MYB121_col_a	AT3G30210
MYB_tnt.MYB13_col_a	AT1G06180
MYB_tnt.MYB13_colamp_a	AT1G06180
MYB_tnt.MYB17_colamp_a	AT3G61250
MYB_tnt.MYB1_col_a	AT3G09230
MYB_tnt.MYB23_col_a	AT5G40330
MYB_tnt.MYB27_col_a	AT3G53200
MYB_tnt.MYB27_colamp_a	AT3G53200
MYB_tnt.MYB30_col_a	AT3G28910
MYB_tnt.MYB30_colamp_a	AT3G28910
MYB_tnt.MYB33_col_a	AT5G06100
MYB_tnt.MYB39_col_a	AT4G17785
MYB_tnt.MYB39_colamp_a	AT4G17785
MYB_tnt.MYB3R1_col_a	AT4G32730
MYB_tnt.MYB3R1_colamp_a	AT4G32730
MYB_tnt.MYB3R4_col_a	AT5G11510
MYB_tnt.MYB3R5_col_a	AT5G02320
MYB_tnt.MYB40_col_a	AT5G14340
MYB_tnt.MYB41_col_a	AT4G28110
MYB_tnt.MYB43_col_a	AT5G16600
MYB_tnt.MYB44_col	AT5G67300
MYB_tnt.MYB44_colamp_a	AT5G67300
MYB_tnt.MYB49_col_a	AT5G54230
MYB_tnt.MYB49_colamp_a	AT5G54230
MYB_tnt.MYB4_col200_a	AT4G38620
MYB_tnt.MYB51_col_a	AT1G18570
MYB_tnt.MYB52_col_a	AT1G17950
MYB_tnt.MYB55_col	AT4G01680
MYB_tnt.MYB55_colamp_a	AT4G01680
